Designator,Mid X,Mid Y,Rotation,Layer
AE1,3.25,2.0,180.0,top
C1,25.740889,32.324166,180.0,top
C10,21.3,30.75,180.0,top
C11,24.8,30.75,0.0,top
C12,15.5,2.0,292.5,top
C13,18.25,3.0,270.0,top
C14,3.98,34.0,0.0,top
C15,22.75,2.765,90.0,top
C16,21.75,2.765,90.0,top
C17,26.75,12.0,0.0,top
C18,19.75,2.765,270.0,top
C19,26.75,8.0,0.0,top
C2,22.18,32.3375,180.0,top
C20,16.58,10.345,90.0,top
C21,16.83,4.845,180.0,top
C3,26.2675,40.8375,0.0,top
C4,13.83,4.55,0.0,top
C5,9.0,39.845,90.0,top
C6,20.55,21.0,270.0,top
C7,13.83,8.55,0.0,top
C8,27.3,23.5,0.0,top
C9,21.3,28.74,180.0,top
D1,10.06,29.175,90.0,top
D2,5.5,22.0,0.0,top
D3,7.0,19.25,180.0,top
D4,10.06,26.825,270.0,top
D5,25.05,21.0,0.0,top
H5,15.75,27.75,0.0,top
H6,3.0,30.0,0.0,top
H7,2.0,8.0,0.0,top
J1,4.0,28.0,270.0,top
J2,24.05,16.445,0.0,top
J3,18.135,27.795,0.0,bottom
J4,16.0,31.0,90.0,top
J5,13.565,27.775,0.0,bottom
J6,9.5,11.5,270.0,top
J7,13.75,10.635,270.0,bottom
L1,16.33,6.25,180.0,top
L2,6.75,2.0,0.0,top
L4,16.75,3.0,22.5,top
L5,20.75,2.765,90.0,top
R1,25.740889,37.574166,180.0,top
R10,9.75,2.0,0.0,top
R11,15.25,13.75,90.0,top
R12,13.75,13.75,270.0,top
R13,1.99,34.0,0.0,top
R14,26.75,10.25,0.0,top
R15,26.76,9.25,0.0,top
R16,6.5,34.25,0.0,top
R2,22.18,37.5875,180.0,top
R3,20.5175,40.0775,270.0,top
R4,9.5,34.0,0.0,top
R5,10.0,24.75,90.0,top
R6,24.29,29.19,0.0,top
R7,24.29,28.19,180.0,top
R8,10.51,5.5,180.0,top
R9,8.5,5.5,0.0,top
SW1,6.5,37.75,270.0,top
SW2,3.0,37.75,270.0,top
TP1,26.5,39.0875,0.0,top
TP2,10.75,39.845,90.0,top
TP3,26.55,28.5,90.0,top
TP4,17.25,13.75,0.0,top
U1,25.190889,34.936666,90.0,top
U2,21.68,34.975,90.0,top
U3,23.2675,39.8375,180.0,top
U4,10.0,36.595,270.0,top
U5,23.725,25.25,270.0,top
U6,21.58,8.33,180.0,top
Y1,13.83,6.55,90.0,top
